"description","neighborhood_overview","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_neighbourhood","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","neighbourhood_group_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","amenities","price","minimum_nights","maximum_nights","has_availability","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","reviews_per_month"
"Townhouse is set in a suburban, family-friendly neighbourhood overlooking a wide, open field with a walking trail. Comfortable place to wind down and relax. Close by, there's a major sports centre  and major mall outlet for shopping. I have a very cozy place to enjoy both the luxuries of the city life, as well as the countryside. It's great if you want a taste of both worlds! Interior is inspired by a rustic design in the living room and bedroom, and a vintage country theme in the kitchen.<br /><br /><b>The space</b><br />Feel free to use the livingroom to watch t.v. and feel free to help yourself to food/drinks WHEN offered.","Backed by nature trails, Bruce Pitt dog park, Quickie Mart and Chinese take-out down the block. Very close to Merivale Rd. strip, for all your shopping needs.","within a day","70%","94%","f","",4,4,"t","f","Knoxdale-Merivale",NA,45.33251,-75.76163,"Private room in townhouse","Private room",1,NA,1,1,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Extra pillows and blankets"", ""Garden or backyard"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Essentials"", ""Washer"", ""Dryer"", ""Patio or balcony"", ""Baking sheet"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Indoor fireplace"", ""Heating"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Dishwasher""]","$33.00",1,15,"t",25,25,0,"2020-03-06","2020-12-21",99,10,10,10,10,10,10,"t",2,0,2,2.17
"A bright and quiet spot to rest in a leafy enclave of  Ottawa. Close to transit, yet away from the roar of traffic. Female guests only please.<br /><br /><b>The space</b><br />The single bed has organic cotton sheets and a comfy duvet with 2 new pillows for your comfort. A full set of towels provided. <br /><br />Hang your clothes in the closet, or use the antique wooden chest of drawers. <br /><br />The closet in your room has a full size iron board and an iron with a steamer for your use. I recommend setting it up in the hallway next to the plug if you need to iron something.<br /><br />It is a non smoking home without pets. Hardwood floors throughout. It's a quiet private street without traffic noise. It is bright in the morning, with birds singing - but the blackout curtains will let you sleep in if you want!<br /><br /><b>Guest access</b><br />Private bedroom.<br />Main floor kitchen is fully equipped. Living room, dining room, and back deck (weather permitting).<br /><br /><b>Oth","The house is a couple of minutes from a lit pathway through parkland,  ideal for walking or running. Just down the street from a library, and yes there is a Tim Hortons on the corner also!","N/A","N/A","67%","f","Greenboro East",0,0,"t","t","Gloucester-Southgate",NA,45.36177,-75.63153,"Private room in house","Private room",1,NA,1,1,"[""Wifi"", ""Bed linens"", ""Shower gel"", ""Keypad"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Essentials"", ""Patio or balcony"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Heating"", ""Dishes and silverware"", ""Stove"", ""Oven""]","$35.00",1,4,"t",1,1,0,"2020-03-12","2020-03-12",100,10,10,10,10,10,10,"t",1,0,1,0.09
"A Main  floor room fitted with queen bed and comfortable mattress in a two story building.  Beautiful garden view and decorated with classic furniture.  <br />Located close to island park and Holland / Holland and 417 / Parkdale exit. Live in Civic hospital community walking distance to Experimental farm and Tunney’s Pastures.  Enjoy spring hike in acres of trails in Experimental farm.<br />COVID safe guests only. If you are coming from another country please message me asking request to book.<br /><br /><b>The space</b><br />Private room. Offers comfort light and delight.<br /><br /><b>Guest access</b><br />Room provided with keys <br />House entrance provided with coded lock for self check in.<br /><br /><b>Other things to note</b><br />The bath room for this is in the lower level.  Use steps to go down. The rom is on main floor conveniently adjacent to kitchen. <br />May have bit of  noise when people use kitchen.","Tunney’s Pastures <br />Experimental farm <br />Civic hospital <br />Hampton Park","within an hour","100%","95%","t","Civic Hospital - Experimental Farm - Central Park",3,3,"t","t","Kitchissippi",NA,45.39293,-75.7303,"Private room in house","Private room",2,NA,1,1,"[""Coffee maker"", ""Hot water kettle"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Extra pillows and blankets"", ""Shower gel"", ""Ethernet connection"", ""Garden or backyard"", ""Keypad"", ""Refrigerator"", ""Iron"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Mini fridge"", ""Smoke alarm"", ""Toaster"", ""Lock on bedroom door"", ""Essentials"", ""Washer"", ""Dryer"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Cleaning before checkout"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Dishwasher""]","$25.00",21,120,"t",1,1,0,"2020-12-26","2020-12-26",100,10,10,10,10,8,10,"f",5,0,5,0.6
"Welcome to your Royal Private bedroom in a beautiful antique 2 floor house in the heart of downtown !<br /><br /><b>The space</b><br />Your royal bedroom features :<br />- Your key, a self check in <br />-Carefully selected soft linens and towels and a high end furnishing<br />-Acoomodation for 2 people<br />-Coffee, tea and everything that you would need<br /><br /><b>Guest access</b><br />Each guest have a beautiful private bedroom. <br />All guests are welcome to use:<br />The laundry washer and dryer on the first floor. <br />The spacious kitchen. <br />2 full shared bathrooms daily maintained  and cleaned.<br />And a huge patio at the back of the house, nice outdoor place to enjoy and see the sky.","Very beautiful and calm neighborhood.<br />Best downtown location, from the house, best shawarma in town 2 minutes walk, 24H Quickie store 1 minute walk, LCBO, restaurants and shoppers 5minutes walk, and with a distance of 10 minutes walk you have the main Rideau Mall, byward market, canal, parliament etc!","N/A","N/A","97%","f","",1,1,"t","f","Rideau-Vanier",NA,45.4317,-75.6796,"Private room in house","Private room",2,NA,1,1,"[""Essentials"", ""Washer"", ""Dryer"", ""Indoor fireplace"", ""Fire extinguisher"", ""Wifi"", ""Kitchen"", ""Heating"", ""Free parking on premises"", ""Long term stays allowed"", ""Shampoo"", ""Hangers"", ""Smoke alarm"", ""Air conditioning"", ""Lock on bedroom door"", ""Carbon monoxide alarm""]","$40.00",1,1125,"t",10,10,0,"2020-03-01","2020-04-24",84,8,10,10,10,10,10,"t",1,0,1,0.86
"","","within an hour","100%","95%","t","Downtown",11,11,"t","t","Rideau-Vanier",NA,45.42669,-75.69134,"Entire condominium","Entire home/apt",4,NA,1,1,"[""Game console"", ""Gym"", ""Coffee maker"", ""Window guards"", ""Hair dryer"", ""Cable TV"", ""Wifi"", ""Microwave"", ""Bed linens"", ""BBQ grill"", ""Extra pillows and blankets"", ""Elevator"", ""Ethernet connection"", ""Children\u2019s books and toys"", ""Pack \u2019n Play/travel crib"", ""Garden or backyard"", ""Baby bath"", ""Free street parking"", ""Keypad"", ""Refrigerator"", ""Beach essentials"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Children\u2019s dinnerware"", ""Outlet covers"", ""Paid parking on premises"", ""Washer"", ""Dryer"", ""Single level home"", ""Private entrance"", ""Bathtub"", ""Patio or balcony"", ""Table corner guards"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Cleaning before checkout"", ""TV"", ""Babysitter recommendations"", ""Pocket wifi"", ""Indoor fireplace"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Fireplace guards"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Paid parking off premises"", ""Dishwasher"", ""Room-darkening shades""]","$136.00",1,1125,"t",5,5,0,"2020-05-31","2020-11-06",100,10,10,10,10,10,10,"f",7,7,0,0.58
"Welcome to our home in a new and calm neighborhood. ( Kanata,Stitsville )<br />It’s a bright room with a twin bed which converts to a king bed. <br />Enjoy your morning with free coffee or tea. <br />Grocery stores are 3 min drive ( Super Walmart, Canadian Superstore) <br />Canadian tire center is 7 min drive. <br />Bus stop within 3 min walk( 167 Terry Fox, Blackstone)<br />4 min drive to 417 highway<br />23 min drive to Downtown Ottawa.<br /><br /><b>The space</b><br />Bright and spacious new townhouse<br /><br /><b>Guest access</b><br />Guests can cook own meal, use the dining and sitting are, watch TV","Nearby Grocery stores, Walmart , Canadian super store, Sobey, Shoppers drug mart, Cardel Recreation Center, Home Depot, winners, home sense, bed and bath beyond...","within an hour","100%","96%","t","",4,4,"t","t","Stittsville-Kanata West",NA,45.28187,-75.89232,"Private room in townhouse","Private room",2,NA,1,1,"[""Essentials"", ""TV"", ""Washer"", ""Dryer"", ""Indoor fireplace"", ""Wifi"", ""Kitchen"", ""Heating"", ""Iron"", ""Free parking on premises"", ""Shampoo"", ""Long term stays allowed"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Air conditioning"", ""Fire extinguisher"", ""Carbon monoxide alarm""]","$35.00",1,1125,"t",4,4,0,"2020-03-07","2020-05-03",100,10,10,10,10,10,10,"t",2,0,2,0.35
"Located in one of Ottawa's most desirable areas, this bright, newly furnished executive apartment (Southeast corner unit) in the Byward Market area is an ideal home for visitors to Ottawa looking for convenient, comfortable, and flexible alternative to a hotel. It is fully equipped and is within walking distance to all major downtown tourist sites, government offices, the University of Ottawa, and Parliament Hill. One FREE parking space.<br /><br /><b>The space</b><br />Wifi, basic cleaning supplies, cookers and utensils, and linens are all ready for guests. Reasonable consumption of utilities are also covered in the rent.","","N/A","N/A","N/A","f","Byward Market - Parliament Hill",1,1,"t","t","Rideau-Vanier",NA,45.42958,-75.69063,"Entire apartment","Entire home/apt",5,NA,2,3,"[""Gym"", ""Essentials"", ""TV"", ""Hair dryer"", ""Washer"", ""Dryer"", ""Wifi"", ""Private entrance"", ""Heating"", ""Iron"", ""Free parking on premises"", ""Shampoo"", ""First aid kit"", ""Long term stays allowed"", ""Hangers"", ""Smoke alarm"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace""]","$150.00",120,750,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"f",1,1,0,NA
"Our historic loft guest house is full of charter and charm. It is very bright and cozy. The place features a separate and private entrance, beautiful hardwood floors throughout, an open plan kitchen, exposed brick walls and wooden beams. You'll love the 11 feet high cathedral style ceiling. <br />It is a perfect location from which to explore the city as everything is close, including Byward Market, Elgin Street, the National Arts Centre, the Canal, Rideau River and Strathcona Park.<br /><br /><b>The space</b><br />The house was built in 1898 and was the first house on Blackburn avenue at the time. The house has a spacious backyard that guests are welcome to use.","","within an hour","100%","100%","f","Sandy Hill",0,0,"t","t","Rideau-Vanier",NA,45.42707,-75.67684,"Entire guesthouse","Entire home/apt",2,NA,NA,1,"[""Coffee maker"", ""Hot water kettle"", ""Hair dryer"", ""Wifi"", ""Wine glasses"", ""Bed linens"", ""Shower gel"", ""Garden or backyard"", ""Refrigerator"", ""Free parking on premises"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Toaster"", ""Portable fans"", ""Free washer\u2013In building"", ""Building staff"", ""Essentials"", ""Dedicated workspace: desk and office chair"", ""Dryer"", ""Private entrance"", ""Bathtub"", ""Baking sheet"", ""Kitchen"", ""Carbon monoxide alarm"", ""Cleaning before checkout"", ""Dining table"", ""Cleaning products"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Dove body soap""]","$80.00",3,1125,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"f",1,1,0,NA
"This bungalow is located on a quiet crescent in the center of Ottawa.  This is the top floor of a bungalow with large windows and a full kitchen.  It's location is ideal for any traveler: within a 10 minute walk there is access to a main public transit terminal (LRT), parking, a shopping center, and many restaurants, and it is a 10 minute cab/Uber or 20 minute bike ride to downtown. Whether you're  here for a long time or just a good time, this spot is sure to be the cozy home for you.<br /><br /><b>The space</b><br />Your visit includes easy access to the essentials: public transit passes (auto-loaded), laundry, kitchen appliances, comfortable air conditioning and heat, and common areas with gym equipment, a 65"" T.V., Neflix (available in your private room, too), a dinning area, coffee and tea, breakfast and, if you're into animals, a couple lovely pets to welcome you as well.<br /><br /><b>Guest access</b><br />As a guest, you will have access to the full upper floor: the kitchen, gy","This listing is in an ideal neighbourhood for location. It is a small, family crescent secluded from the busier streets. It is near to downtown Ottawa and has 24/hr access to many stores and restaurants.","within an hour","100%","88%","t","Overbrook",3,3,"t","t","Rideau-Rockcliffe",NA,45.42841,-75.64136,"Private room in bungalow","Private room",2,NA,1,1,"[""Gym"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Garden or backyard"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Indoor fireplace"", ""Heating"", ""Long term stays allowed"", ""Pool"", ""Shampoo"", ""Smart lock"", ""Breakfast""]","$42.00",2,30,"t",3,3,0,"2020-04-20","2020-10-07",100,10,10,10,10,10,10,"f",3,0,3,0.3
"Spacious 2 Bedroom Near The Byward Market, Museums, Tourist Centres, and Parliament<br /><br /><b>The space</b><br />- Newly Renovated Unit.<br />- Parking available on site.<br />-Wifi<br />- Equipped Kitchen<br />- No smoking in unit<br />- Dimmable Potlights","Accommodation is a walking distance to shops; bars, gyms and downtown Ottawa","within an hour","100%","91%","t","",1,1,"t","t","Rideau-Vanier",NA,45.44268,-75.66423,"Entire apartment","Entire home/apt",4,NA,2,2,"[""Essentials"", ""Hair dryer"", ""Washer"", ""Dryer"", ""Wifi"", ""Bed linens"", ""Iron"", ""Heating"", ""Shampoo"", ""Free parking on premises"", ""Hot water"", ""Long term stays allowed"", ""Hangers"", ""Shower gel"", ""Smoke alarm"", ""Air conditioning"", ""Kitchen""]","$100.00",4,1125,"t",8,8,0,"2020-03-11","2020-09-01",98,10,10,10,10,10,10,"f",2,2,0,0.71
"Welcome to The North House! Our clean, comfortable and cozy rooms are located in the heart of the Kanata Tech District. We are proud to offer a home away from home; the perfect place to unwind after a busy day of work, travel or recreation. Your stay a comfortable private bedroom; shared access to modern bathroom,  basement entertainment space, high speed WIFI. Laundry and  cooked meals for an additional cost. We look forward to making your stay as easy and peaceful as possible!","","N/A","N/A","68%","t","",7,7,"t","t","Kanata North",NA,45.34721,-75.94321,"Private room in bungalow","Private room",1,NA,1,1,"[""Essentials"", ""TV"", ""Hair dryer"", ""Washer"", ""Dryer"", ""Wifi"", ""Heating"", ""Iron"", ""Long term stays allowed"", ""Shampoo"", ""First aid kit"", ""Hangers"", ""Smoke alarm"", ""Lock on bedroom door"", ""Air conditioning"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Dedicated workspace""]","$23.00",20,500,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"f",7,0,7,NA
"Beautiful 2 bedroom loft in the heart of Ottawa. Only 10 minutes to downtown and walking distance to amenities (groceries, public transit, shopping centre). Right next to the Ottawa Rideau River pathway where you can go for a nice walk, run or bike ride.a<br /><br /><b>The space</b><br />Cozy 2 bedroom house with large back yard to enjoy the summer nights.","Quiet and family-friendly neighborhood with park and splash pad nearby.","N/A","N/A","100%","f","Cummings",0,0,"t","t","Rideau-Rockcliffe",NA,45.43373,-75.63833,"Entire house","Entire home/apt",4,NA,2,2,"[""Essentials"", ""Washer"", ""Dryer"", ""Wifi"", ""Private entrance"", ""Kitchen"", ""Heating"", ""Iron"", ""Free parking on premises"", ""Shampoo"", ""Long term stays allowed"", ""Hangers"", ""Smoke alarm"", ""Air conditioning"", ""Fire extinguisher""]","$80.00",1,1125,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"t",1,1,0,NA
"This room is located in a historic house located in Ottawa's downtown core(SandyHill). Very close to UofOttawa, Byward Market and Parliament on a quiet tree-lined street.<br />The room has a large deck with a table and chair. The house has 11' ceilings are hardwood floors throughout. Big kitchen with laundry and a private deck/lounge off the kitchen. The deer/lady wall painting by Claire McGee. Full breakfast supplies are provided.<br /><br /><b>The space</b><br />Historic details make this 2nd floor room welcoming and relaxing. 11’ ceilings with beautiful mural painted by the artist Claire McGee. Antique furniture and a lovely view of Daly Ave contribute to your comfort levels. A twin bed, dresser and  TV we’d it’s Netflix and Roku streaming complete your stay. A fully equipped shared kitchen which also has free laundry is at your disposal. The very downtown neighbourhood has everything you could possibly need an approximate 5 minute walk away. The Byward market, parliament, the Art G","This very downtown location/neighbourhood has everything you could possibly need an approximate 5 minute walk away. The Byward market, parliament, the Art Gallery as well as many embassies are all nearby. The Byward market has 100’s of restaurants. The University of Ottawa is 5 minute walk from the house.","within a few hours","100%","97%","t","Sandy Hill",1,1,"t","t","Rideau-Vanier",NA,45.42785,-75.68503,"Room in boutique hotel","Private room",1,NA,1,0,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Extra pillows and blankets"", ""Shower gel"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Patio or balcony"", ""Baking sheet"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Cleaning before checkout"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Dishwasher""]","$65.00",30,130,"t",2,2,0,"2020-08-13","2020-09-12",100,10,10,9,10,9,10,"f",1,0,1,0.32
